measure,sample,n_obs,lag_aic,maxlags,stable,granger_money_to_infl_p,granger_infl_to_money_p,fevd_money_share_h12,irf_peak_infl_resp,irf_peak_quarter
cpi,full_1959_2026,268,3,8,True,0.0806,0.0081,0.053,0.348,2
cpi,pre_covid_1959_2019,243,4,8,True,0.199,0.0015,0.027,0.192,6
cpi,covid_post_2020_2026,25,1,2,True,0.2227,0.6954,0.288,0.886,1
pce,full_1959_2026,268,3,8,True,0.0531,0.0062,0.058,0.278,2
pce,pre_covid_1959_2019,243,4,8,True,0.0623,0.0016,0.032,0.182,2
pce,covid_post_2020_2026,25,1,2,True,0.3236,0.6918,0.2,0.519,1
ppi,full_1959_2026,268,3,8,True,0.3663,0.3223,0.034,0.788,2
ppi,pre_covid_1959_2019,243,4,8,True,0.4009,0.1465,0.013,0.359,0
ppi,covid_post_2020_2026,25,1,2,True,0.2292,0.6608,0.26,3.972,0
gdpdef,full_1959_2026,268,3,8,True,0.1304,0.0919,0.046,0.151,6
gdpdef,pre_covid_1959_2019,243,3,8,True,0.0824,0.0095,0.01,0.023,12
gdpdef,covid_post_2020_2026,25,1,2,True,0.2044,0.7701,0.249,0.681,1
