sector,money,rate_type,spec,method,n_obs,converged,coef_2010_2019_mean,coef_2020plus_mean,coef_end,se_end,frac_2020plus_sig
mortgage,m2_less_base,market,lean,tvp_kalman,218,True,-0.0,-0.0,-0.0,0.028,0.0
mortgage,m2_less_base,market,lean,rolling_ols,218,True,0.16,0.085,0.057,0.056,0.24
mortgage,m2_less_base,market,controlled,tvp_kalman,218,True,0.0,0.0,0.0,0.029,0.0
mortgage,m2_less_base,market,controlled,rolling_ols,218,True,0.053,0.072,0.044,0.066,0.2
mortgage,base,market,lean,tvp_kalman,218,True,0.011,0.014,0.014,0.013,0.0
mortgage,base,market,lean,rolling_ols,218,True,-0.026,0.023,0.04,0.018,0.44
mortgage,base,market,controlled,tvp_kalman,218,True,0.013,0.02,0.02,0.018,0.0
mortgage,base,market,controlled,rolling_ols,218,True,0.009,0.034,0.061,0.02,0.6
mortgage,m2_less_base,implied,lean,tvp_kalman,218,True,-0.0,-0.0,-0.0,0.028,0.0
mortgage,m2_less_base,implied,lean,rolling_ols,218,True,0.16,0.085,0.057,0.056,0.24
mortgage,m2_less_base,implied,controlled,tvp_kalman,218,True,0.0,0.0,0.0,0.029,0.0
mortgage,m2_less_base,implied,controlled,rolling_ols,218,True,0.053,0.072,0.044,0.066,0.2
mortgage,base,implied,lean,tvp_kalman,218,True,0.011,0.014,0.014,0.013,0.0
mortgage,base,implied,lean,rolling_ols,218,True,-0.026,0.023,0.04,0.018,0.44
mortgage,base,implied,controlled,tvp_kalman,218,True,0.013,0.02,0.02,0.018,0.0
mortgage,base,implied,controlled,rolling_ols,218,True,0.009,0.034,0.061,0.02,0.6
consumer,m2_less_base,market,lean,tvp_kalman,216,True,0.071,0.071,0.071,0.047,0.0
consumer,m2_less_base,market,lean,rolling_ols,216,True,0.195,0.046,0.044,0.093,0.0
consumer,m2_less_base,market,controlled,tvp_kalman,216,True,0.069,0.069,0.069,0.049,0.0
consumer,m2_less_base,market,controlled,rolling_ols,216,True,0.12,0.048,0.076,0.113,0.0
consumer,base,market,lean,tvp_kalman,216,True,-0.01,-0.01,-0.01,0.012,0.0
consumer,base,market,lean,rolling_ols,216,True,-0.038,-0.026,-0.011,0.028,0.04
consumer,base,market,controlled,tvp_kalman,216,True,-0.012,-0.012,-0.012,0.012,0.0
consumer,base,market,controlled,rolling_ols,216,True,-0.012,-0.023,-0.002,0.034,0.0
consumer,m2_less_base,implied,lean,tvp_kalman,268,True,0.089,0.089,0.089,0.042,1.0
consumer,m2_less_base,implied,lean,rolling_ols,268,True,0.2,0.083,0.081,0.111,0.0
consumer,m2_less_base,implied,controlled,tvp_kalman,240,True,0.087,0.087,0.087,0.044,1.0
consumer,m2_less_base,implied,controlled,rolling_ols,240,True,0.136,0.058,0.084,0.122,0.0
consumer,base,implied,lean,tvp_kalman,268,True,-0.012,-0.012,-0.012,0.011,0.0
consumer,base,implied,lean,rolling_ols,268,True,-0.041,-0.025,-0.011,0.032,0.08
consumer,base,implied,controlled,tvp_kalman,240,True,-0.016,-0.016,-0.016,0.012,0.0
consumer,base,implied,controlled,rolling_ols,240,True,-0.018,-0.019,-0.002,0.036,0.0
business,m2_less_base,market,lean,tvp_kalman,267,True,-0.082,-0.281,-0.243,0.152,0.8
business,m2_less_base,market,lean,rolling_ols,267,True,0.261,-0.106,-0.084,0.113,0.08
business,m2_less_base,market,controlled,tvp_kalman,239,True,-0.062,-0.24,-0.21,0.151,0.56
business,m2_less_base,market,controlled,rolling_ols,239,True,0.185,-0.048,-0.013,0.135,0.0
business,base,market,lean,tvp_kalman,267,True,-0.008,-0.008,-0.008,0.012,0.0
business,base,market,lean,rolling_ols,267,True,-0.07,0.021,0.035,0.036,0.0
business,base,market,controlled,tvp_kalman,239,True,0.038,0.087,0.087,0.046,0.96
business,base,market,controlled,rolling_ols,239,True,-0.034,0.046,0.074,0.044,0.0
business,m2_less_base,implied,lean,tvp_kalman,267,True,-0.097,-0.252,-0.227,0.142,0.68
business,m2_less_base,implied,lean,rolling_ols,267,True,0.184,-0.115,-0.081,0.113,0.2
business,m2_less_base,implied,controlled,tvp_kalman,239,True,-0.077,-0.212,-0.189,0.142,0.4
business,m2_less_base,implied,controlled,rolling_ols,239,True,0.121,-0.057,0.002,0.136,0.0
business,base,implied,lean,tvp_kalman,267,True,-0.0,-0.0,-0.0,0.011,0.0
business,base,implied,lean,rolling_ols,267,True,-0.029,0.02,0.029,0.036,0.0
business,base,implied,controlled,tvp_kalman,239,True,0.031,0.047,0.047,0.03,0.16
business,base,implied,controlled,rolling_ols,239,True,-0.0,0.041,0.062,0.042,0.0
